id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
34,[ 666. 1113.  658.    0.],10081.0,201.60000000059856,[ 13.465  13.186 174.949   0.   ],9924.600134879838,22191.0,5072.0,569.0,1876500000.0,0.0,21548.0,49.224283974204035,0.26973514532288395,16.6999305624442,4.260124015386846,0.3408880445927344,0.08511060410673545,0.003372681281618887,0.3387560757861323,[0.067 0.065 0.868 0.   ],0.9710242891262223,0.0,9308035.714258078,[3.304 5.521 3.264 0.   ],25.158730158655462
35,[ 631. 1079.  640.    0.],10081.0,201.60000000059856,[ 11.97   12.335 177.295   0.   ],9841.446231295997,20831.0,4520.0,542.0,1923000000.0,531995.401305734,20241.0,48.811855129923515,0.24640412657474398,16.668981251859936,4.122076370373377,0.3455838479484179,0.08153952980855074,0.0027775022319214363,0.3278444598750124,[0.059 0.061 0.879 0.   ],0.9716768278047141,0.0002766486746259667,9538690.476162156,[3.13  5.352 3.175 0.   ],22.420634920568354
36,[ 475. 1308.  940.    0.],10081.0,201.60000000059856,[  7.682  27.417 166.501   0.   ],9578.025426694177,33900.0,2384.0,450.0,2757000000.0,695006.959193236,33504.0,47.50533392864369,0.14308104354726783,16.277750223192143,2.4439026749629913,0.2198211934755554,0.05505406209701418,0.0018847336573752603,0.5115563932149588,[0.038 0.136 0.826 0.   ],0.9883185840707964,0.00025208812448068046,13675595.238054635,[2.356 6.488 4.663 0.   ],11.825396825361716
37,[ 913. 1571.  911.    0.],10081.0,201.60000000059856,[ 16.362  33.284 151.954   0.   ],10223.773388711874,46549.0,4280.0,1129.0,2898000000.0,516991.5413371825,45689.0,50.708131081793084,0.3297291935323858,16.595575835730582,5.608274489548006,0.5487747951496202,0.14125582779486162,0.003571074298184704,0.6171014780279734,[0.081 0.165 0.754 0.   ],0.9815248447872135,0.00017839597699695738,14374999.99995732,[4.529 7.793 4.519 0.   ],21.2301587300957
38,[ 605. 1322.  891.    0.],10081.0,201.60000000059856,[  9.998  28.279 163.323   0.   ],9808.696781288358,37269.0,2648.0,649.0,2775000000.0,80235.587543181,36740.0,48.6494235754759,0.19156829679595383,16.326554905267333,3.3153827585314914,0.30227540843513,0.08153952980855074,0.0019839301656581687,0.5403233806170022,[0.05 0.14 0.81 0.  ],0.985805897662937,2.8913725240785947e-05,13764880.952340083,[3.001 6.558 4.42  0.   ],13.134920634881636
39,[ 844. 1540.  890.    0.],10081.0,201.60000000059856,[ 14.328  29.16  158.112   0.   ],10077.095769031032,42237.0,3952.0,896.0,2745000000.0,1569545.1870545414,41485.0,49.980635696014104,0.2671163575042146,16.417022120821347,4.827538446062646,0.4798296586078678,0.11764705882352941,0.002479912707072711,0.5679992064279338,[0.071 0.145 0.784 0.   ],0.982195705187395,0.000571783310402383,13616071.428531002,[4.187 7.639 4.415 0.   ],19.6031746031164
40,[ 460. 1163.  847.    0.],10081.0,201.60000000059856,[  7.029  22.696 171.875   0.   ],9532.959620915695,31380.0,2160.0,449.0,2655000000.0,703360.1222543664,31009.0,47.28181539983464,0.13824025394306177,16.2420394802103,2.4198617233903623,0.2248593273644194,0.05297093542307311,0.0018847336573752603,0.4873524451939292,[0.035 0.113 0.853 0.   ],0.9881771829190568,0.0002649190667624732,13169642.857103756,[2.282 5.769 4.201 0.   ],10.714285714253903
41,[ 605. 1050.  605.    0.],10081.0,201.60000000059856,[ 10.761  12.434 178.405   0.   ],9749.798839231988,19987.0,4048.0,470.0,1815000000.0,410297.0404886848,19457.0,48.35730006562408,0.2061700228151978,16.477333597857356,3.6360355787012355,0.2907097340937497,0.0705287173891479,0.0019839301656581687,0.3136593591905565,[0.053 0.062 0.885 0.   ],0.9734827637964677,0.00022605897547585939,9002976.190449461,[3.001 5.208 3.001 0.   ],20.079365079305465
42,[732. 963. 705.   0.],10081.0,201.60000000059856,[ 18.487   6.996 176.117   0.   ],10207.273740758303,11444.0,8416.0,448.0,1989000000.0,671368.5515577804,10585.0,50.62629570854881,0.4263069139966244,17.436762225969645,5.894743244394976,0.4676507600275001,0.11060410673544291,0.004860628905862514,0.2787421882749727,[0.092 0.035 0.874 0.   ],0.9249388325760224,0.00033754074990335865,9866071.428542135,[3.631 4.777 3.497 0.   ],41.7460317459078
43,[ 784. 1038.  717.    0.],10081.0,201.60000000059856,[ 18.202   8.319 175.079   0.   ],10185.293459998014,11725.0,7520.0,529.0,2011500000.0,448129.6004217646,10913.0,50.51727735342395,0.40876897133220563,17.123698045828785,5.665913797073297,0.41391040897185244,0.10752901497867275,0.004364646364447972,0.2887610356115465,[0.09  0.041 0.868 0.   ],0.9307462686567164,0.00022278379339883898,9977678.571398947,[3.889 5.149 3.557 0.   ],37.30158730147655
44,[ 811. 1526.  876.    0.],10081.0,201.60000000059856,[ 14.839  22.014 164.747   0.   ],10119.959297013003,29139.0,4488.0,883.0,2802000000.0,246877.35877147134,28410.0,50.19323131143866,0.2730681480011886,16.468207519095326,4.728278196367441,0.43578984703038487,0.10346195813907351,0.004364646364447972,0.4934034321991866,[0.074 0.109 0.817 0.   ],0.9749819829095028,8.810755131030383e-05,13898809.523768257,[4.023 7.569 4.345 0.   ],22.261904761838665
45,[ 840. 1089.  702.    0.],10081.0,201.60000000059856,[ 20.474   8.179 172.947   0.   ],10358.61930956505,12668.0,8568.0,567.0,2103000000.0,0.0,11747.0,51.376943307035184,0.48518996131335723,17.555798035909135,6.56170938989368,0.4854950547322462,0.12736831663525444,0.004364646364447972,0.3115762325166154,[0.102 0.041 0.858 0.   ],0.9272971266182507,0.0,10431547.619016647,[4.167 5.402 3.482 0.   ],42.499999999873815
46,[ 830. 1553.  853.    0.],10081.0,201.60000000059856,[ 14.764  20.429 166.407   0.   ],10108.657869042441,26496.0,4048.0,845.0,2689500000.0,1048125.786691077,25723.0,50.13717820177416,0.27497272096022113,16.44201964090864,5.275353104919459,0.4742487335982846,0.11576232516615415,0.0032734847733359787,0.4563039381013788,[0.073 0.101 0.825 0.   ],0.9708257850241546,0.0003897102757728489,13340773.8094842,[4.117 7.703 4.231 0.   ],20.079365079305465
47,[783. 993. 714.   0.],10081.0,201.60000000059856,[ 18.235   7.201 176.164   0.   ],10160.19070064084,11382.0,7688.0,434.0,1974000000.0,943085.625713843,10602.0,50.392772049599024,0.420910623946034,17.205435968653905,5.674778105718442,0.4210301788311486,0.10485070925503422,0.004563039381013789,0.28280924511457195,[0.09  0.036 0.874 0.   ],0.9314707432788614,0.000477753609784115,9791666.666637596,[3.884 4.926 3.542 0.   ],38.134920634807415
48,[768. 944. 695.   0.],10081.0,201.60000000059856,[ 18.61    7.117 175.873   0.   ],10201.044407805459,11235.0,8312.0,399.0,1858500000.0,513284.75502399437,10410.0,50.595399304656226,0.4317825612538409,17.343914294216844,5.921628131930383,0.41108285629155383,0.10852098006150183,0.00505902192242833,0.2624739609165757,[0.092 0.035 0.872 0.   ],0.9265687583444593,0.0002761822733516246,9218749.999972628,[3.81  4.683 3.447 0.   ],41.230158730036315
