id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
31,[1478. 2437.  821.  814.],10081.0,201.60000000059856,[25.681 35.951 41.585 98.383],8239.22004734725,8328.0,5598000000.0,16809274.099237703,52594.0,4736.0,40.865092983576304,0.399166749330416,16.76222596964587,8.696737464291276,0.7289071938504041,0.152762622755679,0.2869754984624541,1.187283007638131,[0.127 0.178 0.206 0.488],0.0,0.0,0.0030027284921825123,27767857.1427747,[ 7.331 12.088  4.072  4.038],41.30952380940116
32,[1594. 2513.  773.  835.],10081.0,201.60000000059856,[ 26.869  33.982  39.795 100.954],8340.241799368458,8656.0,5925000000.0,22469384.541054074,52357.0,4953.0,41.366143236631544,0.4194821942267546,16.790000991965083,9.194299200547402,0.757667543769363,0.16545977581589127,0.3017557781966075,1.2672353933141554,[0.133 0.169 0.197 0.501],0.0,0.0,0.0037923011883635566,29389880.952293694,[ 7.907 12.465  3.834  4.142],42.93650793638046
33,[1519. 2431.  794.  843.],10081.0,201.60000000059856,[ 26.458  33.162  39.898 102.082],8236.447958151457,8904.0,5838000000.0,36307858.8779197,53158.0,4970.0,40.85134390513232,0.41924412260687627,16.865787124293224,9.110748105213409,0.7240033699143017,0.16159111199285786,0.2961015772244817,1.2455113580001984,[0.131 0.164 0.198 0.506],0.0,0.0,0.006219228995875249,28958333.333247356,[ 7.535 12.059  3.938  4.182],44.166666666535534
34,[1136. 1995.  851.  793.],10081.0,201.60000000059856,[21.223 30.081 55.603 94.693],7489.946446218342,7384.0,3993000000.0,18688182.623372905,49310.0,3975.0,37.14882673454788,0.3383791290546532,16.76500347187779,6.955683123349694,0.44150686882262385,0.11338160896736435,0.23112786429917667,0.8208511060410674,[0.105 0.149 0.276 0.47 ],0.0,0.0,0.0046802360689639135,19806547.618988812,[5.635 9.896 4.221 3.934],36.62698412687538
35,[1135. 2003.  842.  770.],10081.0,201.60000000059856,[20.602 29.966 59.862 91.17 ],7419.202441589761,7536.0,3916500000.0,8413739.757181354,50241.0,3715.0,36.79794882249317,0.319095327844456,16.8090467215554,6.542891303386464,0.44511213161714935,0.1058426743378633,0.21476044043249679,0.8072611844063089,[0.102 0.149 0.297 0.452],0.0,0.0,0.002148280290356531,19427083.333275653,[5.63  9.936 4.177 3.819],37.38095238084139
36,[1499. 2418.  762.  805.],10081.0,201.60000000059856,[25.838 37.105 41.532 97.125],8118.678565176508,8368.0,5700000000.0,20248085.928335685,54728.0,4907.0,40.267228276847234,0.4096419006050908,16.75270310485071,8.851775349308738,0.8022140266983777,0.15335780180537645,0.2912409483186192,1.2165459775815892,[0.128 0.184 0.206 0.482],0.0,0.0,0.0035522957769009975,28273809.523725577,[ 7.436 11.994  3.78   3.993],41.50793650781327
37,[1485. 2434.  805.  828.],10081.0,201.60000000059856,[25.831 35.179 40.821 99.769],8145.90128060689,8344.0,5610000000.0,20182466.533287305,51798.0,4868.0,40.40224819268077,0.40059517904969,16.77254240650729,8.64165064548086,0.6937629796601964,0.15692887610356115,0.2940184505505406,1.204840789604206,[0.128 0.174 0.202 0.495],0.0,0.0,0.0035975876173417656,27827380.952298332,[ 7.366 12.073  3.993  4.107],41.388888888766004
38,[1560. 2490.  815.  803.],10081.0,201.60000000059856,[26.182 35.282 43.886 96.25 ],8322.914294660162,8416.0,5571000000.0,18991547.31210289,50394.0,4574.0,41.28020183841628,0.4142446185894177,16.759051681380814,8.85306081853212,0.6082962130999843,0.15206824719769865,0.27219521872830077,1.1643686142247793,[0.13  0.175 0.218 0.477],0.0,0.0,0.0034090014920306754,27633928.571346525,[ 7.738 12.351  4.043  3.983],41.7460317459078
39,[1450. 2381.  842.  794.],10081.0,201.60000000059856,[25.495 35.101 45.349 95.655],8162.75289838466,7824.0,5605500000.0,26253187.847862083,51167.0,4563.0,40.485829274804175,0.40408689614124793,16.658664814998513,8.757285068871862,0.6708641319783395,0.15682967959527824,0.27318718381112983,1.1745858545779189,[0.126 0.174 0.225 0.474],0.0,0.0,0.0046834694225068385,27805059.52372697,[ 7.192 11.811  4.177  3.938],38.80952380940858
40,[1474. 2425.  771.  803.],10081.0,201.60000000059856,[25.826 35.129 43.836 96.809],8160.437802131624,8784.0,5730000000.0,29350328.75503254,52700.0,4709.0,40.47434680157245,0.40797539926593845,16.83007638131138,8.557324460156101,0.7475832832865135,0.14998512052375756,0.2856859438547763,1.2195218728300763,[0.128 0.174 0.217 0.48 ],0.0,0.0,0.0051222214232168484,28422619.04753466,[ 7.312 12.029  3.824  3.983],43.57142857129921
41,[1069. 1964.  853.  784.],10081.0,201.60000000059856,[20.982 31.435 56.258 92.925],7427.090690434596,7368.0,3924000000.0,21074099.746328633,52494.0,4075.0,36.83707315958714,0.3237774030354094,16.750719174685052,6.851482610715245,0.5490312232988341,0.11477036008332507,0.23549251066362464,0.8293820057533975,[0.104 0.156 0.279 0.461],0.0,0.0,0.0053705656845893564,19464285.714227926,[5.303 9.742 4.231 3.889],36.54761904751054
42,[1175. 1867.  707.  869.],10081.0,201.60000000059856,[ 26.171  21.407  51.222 102.8  ],7883.10648740783,9432.0,3955500000.0,8836273.955739982,51484.0,4709.0,39.09883189866715,0.4337664914194956,17.77998214462851,8.165359726001052,0.6286422819010848,0.14284297192738815,0.2761630790596171,0.8176768177760143,[0.13  0.106 0.254 0.51 ],0.0,0.0,0.0022339208584856484,19620535.71422746,[5.828 9.261 3.507 4.311],46.78571428557538
43,[1207. 1990.  755.  810.],10081.0,201.60000000059856,[25.383 24.775 55.899 95.543],7926.126194696706,9484.0,4201500000.0,14783148.12454842,49927.0,4344.0,39.312202136187,0.42019640908639405,17.76807856363456,7.708379392276464,0.5482899024010841,0.13183215950798532,0.24987600436464635,0.8867175875409186,[0.126 0.123 0.277 0.474],0.0,0.0,0.003518540550886212,20840773.809461933,[5.987 9.871 3.745 4.018],47.04365079351112
44,[1541. 2409.  722.  861.],10081.0,201.60000000059856,[ 30.559  28.592  39.732 102.717],8405.457625472298,9656.0,5599500000.0,21053013.97679732,52736.0,5747.0,41.689602348346156,0.48360281718082393,16.90625929967265,10.208227167001482,0.8611303171219783,0.19085408193631584,0.35075885328836426,1.2115861521674438,[0.152 0.142 0.197 0.51 ],0.0,0.0,0.003759802478220791,27775297.618965153,[ 7.644 11.949  3.581  4.271],47.89682539668319
45,[1207. 1929.  812.  802.],10081.0,201.60000000059856,[24.968 25.864 56.113 94.655],7930.921738749537,9412.0,4141500000.0,15336751.480278203,49340.0,4207.0,39.33598719745517,0.44082928280923805,17.804186092649537,7.733319575595006,0.5672775965970891,0.12895546076778097,0.23757563733756573,0.8685646265251463,[0.124 0.128 0.278 0.47 ],0.0,0.0,0.0037031876084216353,20543154.761843767,[5.987 9.568 4.028 3.978],46.686507936369324
46,[1464. 2302.  705.  832.],10081.0,201.60000000059856,[29.2   30.352 42.578 99.47 ],8281.927519306579,9136.0,5535000000.0,23656811.920717813,48856.0,5225.0,41.076914588373555,0.45336772145619453,16.855867473464933,9.458597383176539,0.9198342495518057,0.1822239857157028,0.3195119531792481,1.1750818371193334,[0.145 0.151 0.211 0.493],0.0,0.0,0.004274040094077293,27455357.14277563,[ 7.262 11.419  3.497  4.127],45.31746031732577
47,[1248. 1974.  770.  852.],10081.0,201.60000000059856,[ 27.289  24.704  48.627 100.98 ],8061.664369040561,9948.0,4374000000.0,18101736.25097286,52825.0,4826.0,39.984447817884636,0.4756670965181952,18.07122309294713,8.37105295912627,0.5818939135093186,0.14125582779486162,0.27784941970042654,0.9291736930860034,[0.135 0.123 0.241 0.501],0.0,0.0,0.004138485654086159,21696428.571364153,[6.19  9.792 3.819 4.226],49.34523809509159
48,[1180. 1943.  707.  886.],10081.0,201.60000000059856,[ 27.018  22.297  47.328 104.957],7934.119528294419,9776.0,4083000000.0,20406173.77954374,57033.0,5189.0,39.35184767530913,0.4491617895050027,17.982739807558772,8.076011140522573,0.6096754223760925,0.14393413351850015,0.3042356909036802,0.8707469497073703,[0.134 0.111 0.235 0.521],0.0,0.0,0.004997838300157664,20252976.19041606,[5.853 9.638 3.507 4.395],48.49206349191952
