id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
20,[1699. 1700.    0.    0.],10081.0,201.60000000059856,[ 25.599 176.001   0.      0.   ],13526.113912951674,26625.0,3608.0,1249.0,3666000000.0,371549.7348768429,25315.0,67.08716354006542,0.37559765896239944,16.317032040472174,6.9389121464490895,0.4783990322149444,0.15593691102073207,0.000892768574546176,0.5465727606388255,[0.127 0.873 0.    0.   ],0.9507981220657277,0.00010135017317971709,18184523.80946982,[8.428 8.433 0.    0.   ],17.89682539677226
21,[1751. 1752.    0.    0.],10081.0,201.60000000059856,[ 26.739 174.861   0.      0.   ],13581.651177783719,24286.0,4320.0,1260.0,3828000000.0,986158.4949547076,22938.0,67.36261867761196,0.40718182719967666,16.416228548755083,7.256377209821321,0.5145199216405608,0.16188870151770657,0.0011903580993949012,0.5294117647058824,[0.133 0.867 0.    0.   ],0.9444947706497571,0.0002576171616914074,18988095.23803886,[8.686 8.69  0.    0.   ],21.428571428507805
22,[1540. 1541.    0.    0.],10081.0,201.60000000059856,[ 22.977 178.623   0.      0.   ],13409.556402740383,55809.0,1424.0,1805.0,5371500000.0,1096283.2368681086,54531.0,66.50905863870985,0.3614720761829129,16.128161888701516,7.486880508764092,0.6811919308917836,0.19769864100783652,0.0002975895248487253,0.9517904969745065,[0.114 0.886 0.    0.   ],0.9771004676665054,0.00020409256946255397,26644345.23801613,[7.639 7.644 0.    0.   ],7.063492063471092
23,[1730. 1731.    0.    0.],10081.0,201.60000000059856,[ 25.823 175.777   0.      0.   ],13532.915165710125,65026.0,1384.0,2149.0,5220000000.0,622435.2599982487,63649.0,67.12089656634521,0.40662632675329025,16.12617795853586,8.294253863519087,0.7585722280178128,0.22864795159210397,0.0009919650828290843,1.022616803888503,[0.128 0.872 0.    0.   ],0.9788238550733552,0.0001192404712640323,25892857.142780267,[8.581 8.586 0.    0.   ],6.865079365058983
24,[1812. 1813.    0.    0.],10081.0,201.60000000059856,[ 27.211 174.389   0.      0.   ],13597.025430441425,63643.0,1616.0,2212.0,5314500000.0,372631.70708504063,62160.0,67.4388722866661,0.4247991270707176,16.13133617696657,8.713792664404155,0.8043831497277378,0.23588929669675626,0.0007935720662632675,1.0429520880864993,[0.135 0.865 0.    0.   ],0.9766981443363764,7.011604235300416e-05,26361607.142778873,[8.988 8.993 0.    0.   ],8.015873015849216
25,[1865. 1866.    0.    0.],10081.0,201.60000000059856,[ 28.113 173.487   0.      0.   ],13629.220538176445,65746.0,1536.0,2320.0,5388000000.0,925477.7245056104,64256.0,67.59855440022142,0.4398769963297195,16.135700823331018,8.924158940757984,0.8423612176103015,0.2453129649836326,0.0009919650828290843,1.0500942366828687,[0.139 0.861 0.    0.   ],0.9773370243056612,0.00017176646705746294,26726190.476111125,[9.251 9.256 0.    0.   ],7.619047619024998
26,[1525. 1526.    0.    0.],10081.0,201.60000000059856,[ 22.69 178.91   0.     0.  ],13399.219222305983,52643.0,1832.0,1760.0,5347500000.0,721318.4554536713,51432.0,66.45778802848089,0.352584069040764,16.156730483086996,6.983314921971026,0.6006526748021249,0.18371193333994643,0.0007935720662632675,0.9477234401349073,[0.113 0.887 0.    0.   ],0.9769959918697643,0.00013488891172579173,26525297.618968863,[7.564 7.569 0.    0.   ],9.087301587274608
27,[1658. 1659.    0.    0.],10081.0,201.60000000059856,[ 26.099 175.501   0.      0.   ],13550.981084180477,24014.0,3632.0,1297.0,3718500000.0,615113.309093341,22692.0,67.21050036790432,0.39615117547861733,16.353933141553416,7.159141446879646,0.5166427149363447,0.1632774526336673,0.001785537149092352,0.5279238170816387,[0.129 0.871 0.    0.   ],0.9449487798784043,0.00016541974158755976,18444940.476135712,[8.224 8.229 0.    0.   ],18.015873015819526
28,[1760. 1761.    0.    0.],10081.0,201.60000000059856,[ 26.642 174.958   0.      0.   ],13575.51749244495,25138.0,4264.0,1320.0,3774000000.0,1233947.7602655247,23834.0,67.3321966691863,0.40884832853882935,16.382898521972027,7.161227192605067,0.5254120553085688,0.16228548755083821,0.0011903580993949012,0.5364547167939688,[0.132 0.868 0.    0.   ],0.9481263425889093,0.00032696019084937065,18720238.095182516,[8.73  8.735 0.    0.   ],21.150793650730854
29,[1669. 1670.    0.    0.],10081.0,201.60000000059856,[ 24.815 176.785   0.      0.   ],13489.947966795842,57992.0,1480.0,1945.0,5538000000.0,1051185.7460513022,56623.0,66.90778676119525,0.3883741692292359,16.134113679198492,8.029664059651402,0.7325335183707529,0.2092054359686539,0.000892768574546176,0.9922626723539332,[0.123 0.877 0.    0.   ],0.9763932956269831,0.00018981324414071906,27470238.095156536,[8.279 8.284 0.    0.   ],7.341269841248045
