id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1066. 1067.    0.    0.],10081.0,201.60000000059856,[ 16.175 185.425   0.      0.   ],13519.314554203575,41768.0,2727000000.0,82859.55073123425,12753.0,12061.0,64.0,67.05343990774605,0.20442416426941967,17.92639619085408,3.6614926315012335,0.2562185540039313,0.07816684852693186,0.0004959825414145422,0.32863803194127567,[0.08 0.92 0.   0.  ],0.9457382576648632,3.0384873755494775e-05,13526785.714245552,[5.288 5.293 0.    0.   ],0.3174603174593749
11,[1090. 1091.    0.    0.],10081.0,201.60000000059856,[ 17.147 184.453   0.      0.   ],13372.5622611457,41410.0,2793000000.0,311509.6017497884,13063.0,12325.0,64.0,66.32557415505373,0.21299474258506243,17.531990873921238,3.7081185780165096,0.266188055884524,0.07856363456006349,0.0009919650828290843,0.3340938398968356,[0.085 0.915 0.    0.   ],0.9435045548495752,0.00011153225984596792,13854166.666625533,[5.407 5.412 0.    0.   ],0.3174603174593749
12,[1069. 1070.    0.    0.],10081.0,201.60000000059856,[ 17.526 184.074   0.      0.   ],13492.72751705918,41444.0,2679000000.0,293311.0892439143,12277.0,11504.0,72.0,66.92157284523081,0.21942267632179455,18.09820454320008,4.014498828611406,0.2938270009540005,0.08669774823926198,0.0009919650828290843,0.31812320206328737,[0.087 0.913 0.    0.   ],0.937036735358801,0.00010948528900482056,13288690.476151021,[5.303 5.308 0.    0.   ],0.3571428571417968
13,[829. 830.   0.   0.],10081.0,201.60000000059856,[ 12.994 188.606   0.      0.   ],13139.832255412199,45157.0,1906500000.0,0.0,9828.0,9274.0,48.0,65.17127395798285,0.1479218331514743,18.409681579208414,2.4086972561700426,0.15613224511123894,0.04979664715802004,0.0002975895248487253,0.21604999504017458,[0.064 0.936 0.    0.   ],0.9436304436304437,0.0,9456845.238067161,[4.112 4.117 0.    0.   ],0.23809523809453118
14,[783. 784.   0.   0.],10081.0,201.60000000059856,[ 11.436 190.164   0.      0.   ],13188.58921693085,45830.0,1873500000.0,0.0,9232.0,8688.0,48.0,65.41309997483908,0.1285586747346503,18.199384981648645,2.311115875381126,0.12597106259305135,0.04444003571074298,0.00039678603313163377,0.21287570677512152,[0.057 0.943 0.    0.   ],0.9410745233968805,0.0,9293154.76187717,[3.884 3.889 0.    0.   ],0.23809523809453118
15,[1016. 1017.    0.    0.],10081.0,201.60000000059856,[ 16.453 185.147   0.      0.   ],13236.687204557438,42014.0,2676000000.0,37596.144003870075,11722.0,11013.0,56.0,65.65165759623966,0.2081539529808568,18.39182620771749,3.688842480437155,0.2783658669687938,0.0810435472671362,0.0009919650828290843,0.32754687035016367,[0.082 0.918 0.    0.   ],0.9395154410510151,1.4049381167365499e-05,13273809.523770114,[5.04  5.045 0.    0.   ],0.27777777777695306
16,[1015. 1016.    0.    0.],10081.0,201.60000000059856,[ 16.642 184.958   0.      0.   ],13575.213474059476,42482.0,2686500000.0,380481.7071332509,12089.0,11391.0,64.0,67.33068879107036,0.21005852593988852,17.8137089574447,3.5432110860066843,0.2788811985603467,0.07925801011804384,0.000892768574546176,0.32258704493601825,[0.083 0.917 0.    0.   ],0.942261560095955,0.00014162728722622405,13325892.857103292,[5.035 5.04  0.    0.   ],0.3174603174593749
17,[1019. 1020.    0.    0.],10081.0,201.60000000059856,[ 15.915 185.685   0.      0.   ],13456.78489088665,42365.0,2694000000.0,463341.25786448515,11820.0,11128.0,64.0,66.74330369448914,0.19656780081341332,18.063684158317628,3.38404312165479,0.2280098373934945,0.07112389643884535,0.0007935720662632675,0.32119829382005755,[0.079 0.921 0.    0.   ],0.9414551607445009,0.00017199007344635678,13363095.238055563,[5.055 5.06  0.    0.   ],0.3174603174593749
18,[995. 996.   0.   0.],10081.0,201.60000000059856,[ 15.597 186.003   0.      0.   ],13554.21626994537,42756.0,2634000000.0,553412.8672855743,11850.0,11189.0,56.0,67.22654632447987,0.1906160103164387,18.068048804682075,3.2251398151750164,0.21125860800084534,0.06953675230631881,0.0007935720662632675,0.3180240055550045,[0.077 0.923 0.    0.   ],0.9442194092827004,0.00021010359426179738,13065476.190437399,[4.936 4.94  0.    0.   ],0.27777777777695306
19,[990. 991.   0.   0.],10081.0,201.60000000059856,[ 15.061 186.539   0.      0.   ],13265.71692341436,42703.0,2536500000.0,0.0,11408.0,10775.0,48.0,65.79563993359163,0.1906160103164387,17.863307211586154,3.2192419893975974,0.20828169489968276,0.06923916278147009,0.0007935720662632675,0.3101874814006547,[0.075 0.925 0.    0.   ],0.9445126227208976,0.0,12581845.238057882,[4.911 4.916 0.    0.   ],0.23809523809453118
