id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
30,[6.274e+03 6.253e+03 1.236e+03 5.000e+00],10081.0,201.60000000059856,[92.332 49.001 59.687  0.58 ],15754.73063327953,8997.0,3079.0,8204.0,23214.0,13770000000.0,6922573.504195627,78.14071338795132,1.973375657176996,17.3772443209999,41.9336308907811,5.884560372048915,1.4433091955163178,0.028171808352345996,2.8489237178851305,[0.458 0.243 0.296 0.003],0.3422251861731688,0.0005027286495421661,68303571.42836863,[3.112e+01 3.102e+01 6.131e+00 2.480e-02],40.69444444432362
31,[6.270e+03 6.311e+03 1.244e+03 4.000e+00],10081.0,201.60000000059856,[92.306 49.056 59.731  0.507],15841.641359557409,8746.0,2682.0,7544.0,22592.0,13962000000.0,9228823.157722943,78.57177541690535,1.966630294613759,17.36930860033727,42.20373510692413,5.840582013059265,1.4654300168634065,0.029758952484872533,2.9189564527328637,[0.458 0.243 0.296 0.003],0.30665447061513834,0.0006609957855409642,69255952.38074675,[3.110e+01 3.130e+01 6.171e+00 1.984e-02],37.42063492052382
32,[6256. 6192. 1315.   17.],10081.0,201.60000000059856,[92.161 45.929 61.336  2.174],15694.854807217032,9457.0,3435.0,7760.0,23954.0,14215500000.0,8840736.345998734,77.84373974415344,1.9687729391926683,17.310187481400654,42.665766600776315,5.921375631793443,1.4870548556690804,0.02618787818668783,2.987104453923222,[0.457 0.228 0.304 0.011],0.3632230094110183,0.0006219082231366279,70513392.8569335,[31.032 30.714  6.523  0.084],38.49206349194921
33,[6.375e+03 6.297e+03 1.384e+03 3.000e+00],10081.0,201.60000000059856,[91.202 46.772 63.166  0.46 ],15662.551369099616,9497.0,3381.0,11516.0,23138.0,14647500000.0,6688416.252410168,77.68352033081544,2.021069338359411,18.320007935720664,42.688153375975766,5.566123551727914,1.4066064874516417,0.030949310584267434,2.887411963098899,[0.452 0.232 0.313 0.002],0.35600716015583866,0.0004566251068380384,72656249.99978428,[3.162e+01 3.124e+01 6.865e+00 1.488e-02],57.123015872846274
34,[5713. 5748. 1417.    0.],10081.0,201.60000000059856,[75.993 52.001 73.606  0.   ],14758.364839428248,6516.0,1910.0,20352.0,16172.0,10390500000.0,4105050.3706042618,73.19891300182529,2.06296994345809,26.213272492808255,33.8273677722292,3.381988357457268,0.8872135700823331,0.03313163376649142,1.6397182819164766,[0.377 0.258 0.365 0.   ],0.2931246163290362,0.0003950772696794439,51540178.57127555,[28.338 28.512  7.029  0.   ],100.95238095208123
35,[5296. 5876. 1254.    0.],10081.0,201.60000000059856,[70.394 57.188 74.018  0.   ],14638.985491346268,5285.0,1058.0,8640.0,16029.0,9418500000.0,1244663.545332417,72.60681227728038,1.4276361472076886,17.026088681678406,30.093614916757062,3.032110607250825,0.8023013589921635,0.027675825810931455,1.5175081837119333,[0.349 0.284 0.367 0.   ],0.20018921475875118,0.00013215093118144257,46718749.99986129,[26.27  29.147  6.22   0.   ],42.85714285701561
36,[5826. 5545. 1283.   65.],10081.0,201.60000000059856,[80.847 38.232 73.04   9.481],15388.583224390914,6599.0,1439.0,3240.0,18114.0,12561000000.0,3145689.524120366,76.3246861640188,1.6195218728302105,16.295605594683067,36.04096727466581,4.530551301008085,1.1424461858942565,0.02995734550143835,2.409780775716695,[0.401 0.19  0.362 0.047],0.21806334293074708,0.00025043304865220655,62306547.61886263,[28.899 27.505  6.364  0.322],16.071428571380856
37,[6384. 6322. 1305.    7.],10081.0,201.60000000059856,[92.915 47.935 59.912  0.838],15817.835036722041,8563.0,2662.0,7572.0,22251.0,13633500000.0,6545477.3235852895,78.45370021188924,1.9686142247794312,17.235194921138778,42.59982198255718,5.77100695758805,1.4372582085110603,0.02668386072810237,2.766094633468902,[0.461 0.238 0.297 0.004],0.31087235781852157,0.00048010249191955765,67626488.09503731,[31.667 31.359  6.473  0.035],37.5595238094123
38,[5887. 5561. 1360.   93.],10081.0,201.60000000059856,[85.7   38.021 63.323 14.556],15183.679498138643,7672.0,2145.0,5264.0,18175.0,12745500000.0,5852061.0882373415,75.3083994551018,1.740462255728756,16.536057930760837,38.58475977942892,4.904873605648661,1.272988790794564,0.038289852197202656,2.5512349965281222,[0.425 0.189 0.314 0.072],0.2795881126173097,0.000459147235356584,63221726.190288484,[29.201 27.584  6.746  0.461],26.111111111033587
39,[6.218e+03 6.117e+03 1.326e+03 2.000e+00],10081.0,201.60000000059856,[93.523 47.171 60.546  0.36 ],15847.655011233035,8783.0,2830.0,7768.0,22382.0,13693500000.0,7967372.949769943,78.60160207931858,1.9696458684655866,17.17488344410277,42.74597276453445,5.924644851029749,1.4911219125086796,0.027179843269516914,2.877492312270608,[0.464 0.234 0.3   0.002],0.3222133667311852,0.0005818361229612549,67924107.14265548,[3.084e+01 3.034e+01 6.577e+00 9.921e-03],38.53174603163163
40,[4877. 4680.  897.  252.],10081.0,201.60000000059856,[72.691 29.643 29.481 69.785],13973.668038531045,9791.0,4738.0,2784.0,20959.0,12460500000.0,7169835.461476982,69.30695386633275,1.4306517210595096,16.315048110306517,33.87895281755406,4.396761293079626,1.11596071818272,0.06745362563237774,2.506993353833945,[0.361 0.147 0.146 0.346],0.48391379838627313,0.0005754051170881571,61808035.7141022,[24.191 23.214  4.449  1.25 ],13.809523809482808
41,[5451. 5886. 1326.    0.],10081.0,201.60000000059856,[73.877 55.547 72.176  0.   ],14480.592683699408,5040.0,817.0,10552.0,13198.0,9072000000.0,1972479.231664744,71.82121160449775,1.49596270211298,17.08322587044936,31.28116240457335,3.1376398159903056,0.841880765797044,0.029064576926892172,1.4757464537248288,[0.366 0.276 0.358 0.   ],0.1621031746031746,0.00021742495939867107,44999999.999866396,[27.039 29.196  6.577  0.   ],52.34126984111444
42,[5664. 4812. 1892.    0.],10081.0,201.60000000059856,[ 72.83   26.197 102.573   0.   ],14726.229486259726,9686.0,3762.0,29628.0,37399.0,15162000000.0,2795082.067954093,73.0395272604893,3.0350163674238733,39.29332407499256,42.709210730062445,3.8703344318292494,1.0022815196905068,0.052574149389941476,2.13540323380617,[0.361 0.13  0.509 0.   ],0.3883956225480074,0.00018434784777431032,75208333.33311003,[28.095 23.869  9.385  0.   ],146.96428571384936
43,[6248. 4884. 2288.    0.],10081.0,201.60000000059856,[79.978 29.197 92.425  0.   ],15120.1643896706,7015.0,1659.0,26288.0,18864.0,12963000000.0,1549648.9927715547,74.99337560594493,3.2100783652415865,33.082829084416225,40.680744994081536,3.967438204022163,1.0356115464735642,0.04801111000892769,1.9705386370399762,[0.397 0.145 0.458 0.   ],0.23649322879543835,0.00011954400931663617,64300595.237904325,[30.992 24.226 11.349  0.   ],130.39682539643823
44,[6187. 5869. 1549.    0.],10081.0,201.60000000059856,[87.701 39.616 74.283  0.   ],15379.95442121322,10212.0,3900.0,15304.0,25000.0,15598500000.0,7065778.428382598,76.28188880672965,2.1606586648150787,19.07905961710148,45.25904780595543,5.743948171282991,1.4609661739906756,0.028370201368911815,2.896835631385775,[0.435 0.197 0.368 0.   ],0.381903642773208,0.00045297807022358545,77373511.90453218,[30.689 29.112  7.684  0.   ],75.91269841247302
45,[6226. 5289. 1938.    0.],10081.0,201.60000000059856,[82.437 31.538 87.625  0.   ],15401.210657715552,10350.0,4198.0,27908.0,28504.0,14799000000.0,3642131.0295319487,76.38731602874547,3.306656085705781,35.39688522963991,44.20660210445988,4.5203663384459505,1.152663426247396,0.05158218430711239,2.323182223985716,[0.409 0.156 0.435 0.   ],0.4056038647342995,0.0002461065632496756,73407738.09502015,[30.883 26.235  9.613  0.   ],138.43253968212866
46,[6327. 5844. 1614.    0.],10081.0,201.60000000059856,[88.464 38.51  74.626  0.   ],15375.571083121504,8696.0,2607.0,14560.0,21963.0,14902500000.0,4006864.3293874133,76.2601482150641,2.133518500148882,18.524352742783453,44.670411835330825,5.493399816013177,1.423668286876302,0.022815196905068943,2.7944648348378136,[0.439 0.191 0.37  0.   ],0.2997930082796688,0.00026887195634205086,73921130.95216148,[31.384 28.988  8.006  0.   ],72.22222222200779
47,[5945. 5276. 1866.    0.],10081.0,201.60000000059856,[77.323 35.023 89.254  0.   ],15188.271435663664,12080.0,5765.0,26484.0,42776.0,15114000000.0,5075594.682176419,75.33117466354312,3.24110703303244,39.206427933736734,42.5560629846035,4.1363576025782365,1.0721158615216744,0.04513441126872334,2.349866084713818,[0.384 0.174 0.443 0.   ],0.4772350993377483,0.0003358207411788023,74970238.09501551,[29.489 26.171  9.256  0.   ],131.3690476186576
48,[5710. 5186. 1790.    0.],10081.0,201.60000000059856,[75.688 34.986 90.926  0.   ],14924.056833626675,10900.0,4990.0,25440.0,40319.0,13147500000.0,5789206.258805414,74.02071636557214,2.918519988096449,38.060906656085706,39.670418095399995,3.903279085310628,0.9997024104751513,0.043646463644479716,1.9900803491717092,[0.375 0.174 0.451 0.   ],0.4577981651376147,0.00044032753442140433,65215773.80933018,[28.323 25.724  8.879  0.   ],126.19047619010153
