id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
38,[ 924. 1934. 1418.    0.],10081.0,201.60000000059856,[ 23.153  57.663 120.784   0.   ],10565.73940594343,5992.0,5545500000.0,3519413.616347694,34336.0,33111.0,1771.0,52.40422282483256,0.42670370002975233,16.467413947029065,7.474836900455477,0.6803080397557223,0.1843071123896439,0.016268227358396985,0.9433587937704593,[0.115 0.286 0.599 0.   ],0.9643231593662628,0.0006346431550532313,27507440.476108804,[4.583 9.593 7.034 0.   ],29.722222222133976
39,[1115. 2062. 1407.    0.],10081.0,201.60000000059856,[ 26.592  57.736 117.272   0.   ],10751.559729472774,6992.0,5500500000.0,71857.34891621236,42776.0,41421.0,1940.0,53.32585918793926,0.485983533379616,16.55113580001984,8.23852560027287,0.798223065206946,0.21069338359289752,0.013490725126475547,0.9672651522666402,[0.132 0.286 0.582 0.   ],0.968323358892837,1.3063784913410118e-05,27284226.190395184,[ 5.531 10.228  6.979  0.   ],34.68253968243671
40,[ 907. 1939. 1463.    0.],10081.0,201.60000000059856,[ 20.666  53.915 127.019   0.   ],10369.872727528113,6008.0,5481000000.0,433008.7807011012,28800.0,27730.0,1740.0,51.432758295444046,0.390120027775017,16.46185894256522,6.6230419504208875,0.556440361487922,0.1526634262473961,0.014780279734153358,0.8641999801606983,[0.103 0.267 0.63  0.   ],0.9628472222222222,7.900178447383711e-05,27187499.99991928,[4.499 9.618 7.257 0.   ],29.80158730149882
41,[1157. 1691. 1314.    0.],10081.0,201.60000000059856,[ 28.967  31.86  140.773   0.   ],10851.919060812912,9280.0,4047000000.0,838187.4676980434,17831.0,16346.0,3782.0,53.823623950066874,0.5839103263565021,17.26296994345799,8.95133871905446,0.7365660324221818,0.19065568891975002,0.02608868167840492,0.5895248487253248,[0.144 0.158 0.698 0.   ],0.9167180752621839,0.00020711328581617084,20074404.76184516,[5.739 8.388 6.518 0.   ],46.031746031609366
42,[1111. 1072. 1172.    0.],10081.0,201.60000000059856,[ 36.975  13.221 151.404   0.   ],11223.815261181817,11528.0,4014000000.0,567282.9551001287,15719.0,14080.0,1998.0,55.66816417608132,0.8021426445788998,18.48467413947029,10.755481078197972,0.7819351542482944,0.21644678107330623,0.026386271203253646,0.5613530403729788,[0.183 0.066 0.751 0.   ],0.8957312806158153,0.0001413260974340131,19910714.28565517,[5.511 5.317 5.813 0.   ],57.18253968236991
43,[1047. 1109. 1185.    0.],10081.0,201.60000000059856,[ 35.794  16.008 149.798   0.   ],11150.854817480182,10584.0,4147500000.0,1172151.6406961353,17504.0,15946.0,2310.0,55.306293113182235,0.748417815692877,17.995040174585853,9.936979184559052,0.749968370797858,0.20603114770360084,0.025791092153556194,0.5942862811229045,[0.178 0.079 0.743 0.   ],0.910991773308958,0.0002826164293420459,20572916.666605584,[5.193 5.501 5.878 0.   ],52.49999999984413
44,[1504. 2190. 1443.    0.],10081.0,201.60000000059856,[ 39.124  39.029 123.447   0.   ],11501.938243218994,10792.0,5667000000.0,2353211.2735155355,24324.0,22387.0,2600.0,57.047605610647565,0.7707965479614959,16.943160400753893,12.747073465468421,1.184126475200075,0.31326257315742484,0.030453328042852893,0.8792778494197004,[0.194 0.194 0.612 0.   ],0.9203667160006578,0.00041524815131736994,28110119.047535587,[ 7.46  10.863  7.158  0.   ],53.5317460315871
45,[1121. 1178. 1198.    0.],10081.0,201.60000000059856,[ 37.87   16.408 147.322   0.   ],11339.299993749393,11712.0,4357500000.0,1284570.636814622,18459.0,16798.0,1891.0,56.240948287616206,0.8023013589921533,18.228350362067257,10.949171584029735,0.8646881451128198,0.23886519194524353,0.02172403531395695,0.655490526733459,[0.188 0.081 0.731 0.   ],0.9100167939758383,0.00029479532686508826,21614583.33326916,[5.561 5.843 5.942 0.   ],58.09523809506561
46,[1606. 2361. 1518.    0.],10081.0,201.60000000059856,[ 39.858  40.669 121.073   0.   ],11560.487761554414,11376.0,5664000000.0,305601.8543035706,24915.0,22961.0,2643.0,57.33800099967318,0.7799226267235226,16.996329729193533,12.70922328518822,1.1007256817168796,0.3114770360083325,0.03213966868366234,0.8787818668782859,[0.198 0.202 0.601 0.   ],0.9215733493879189,5.395512964399198e-05,28095238.09515468,[ 7.966 11.711  7.53   0.   ],56.42857142840389
47,[1111. 1142. 1219.    0.],10081.0,201.60000000059856,[ 36.707  15.526 149.367   0.   ],11185.558097815388,11348.0,4338000000.0,346819.22562115244,16117.0,14482.0,2443.0,55.47841532494368,0.7845253447078544,18.28509076480508,10.503287908467744,0.794319768776544,0.2187283007638131,0.026981450252951095,0.6167046919948418,[0.182 0.077 0.741 0.   ],0.8985543215238568,7.99491068744012e-05,21517857.142793257,[5.511 5.665 6.047 0.   ],56.28968253951541
48,[1102. 1005. 1181.    0.],10081.0,201.60000000059856,[ 37.207  13.687 150.706   0.   ],11206.428996807168,11404.0,4096500000.0,433008.7807011012,16172.0,14505.0,2190.0,55.58193134017931,0.7976986410078251,18.29818470389842,10.884977985614713,0.7882706639032959,0.21932347981351055,0.02499752008729293,0.5664120622954072,[0.185 0.068 0.748 0.   ],0.8969206035122433,0.00010570213125866012,20319940.476130147,[5.466 4.985 5.858 0.   ],56.567460317292365
