id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
39,[5791. 5847. 1522.  691.],20161.0,403.19999999737746,[136.042  58.787  89.596 118.775],32125.72941698496,12928.0,443825.0,68124000000.0,568420830.9604028,54328.0,29141.0,79.67295624468228,1.6420614056843281,18.8004563265711,37.24738041623189,11.167058969365195,2.1273746341947324,0.016765041416596398,9.579038738157829,[0.337 0.146 0.222 0.295],0.5363900750993963,0.008343914493576462,168958333.3344323,[14.363 14.501  3.775  1.714],32.063492063700615
40,[9796. 9316. 2450.  104.],20161.0,403.19999999737746,[166.846  80.216 142.095  14.043],35126.78661508416,11592.0,396200.0,73896000000.0,449497625.02496094,72195.0,42073.0,87.11568527127532,2.1814394127274523,20.115867268488667,48.29338009292968,12.111176254945414,2.391647239720252,0.029016417836416845,9.825653489410248,[0.414 0.199 0.352 0.035],0.5827688898123139,0.006082841087812073,183273809.5250016,[24.296 23.105  6.076  0.258],28.750000000187
41,[11107. 11421.   346.     0.],20161.0,403.19999999737746,[175.296 209.617  18.287   0.   ],32807.72098866175,6432.0,278433.0,35707500000.0,124940342.67136891,33445.0,15898.0,81.36431969808059,1.658409801101311,16.592430931005406,40.61070621815252,7.136843044098771,1.5976886067159366,0.007489707851793066,4.1093199742076285,[0.435 0.52  0.045 0.   ],0.4753475855882793,0.0034989944037350394,88560267.85771888,[27.547 28.326  0.858  0.   ],15.952380952484711
42,[11724. 12492.  1732.     0.],20161.0,403.19999999737746,[186.292 126.132  90.776   0.   ],32908.51834680681,23604.0,272268.0,44880000000.0,142061278.37587062,62276.0,42204.0,81.61430074600334,2.540707306185044,28.7475819651803,52.09386689862616,7.972837723236171,1.8049699915678785,0.023808342840136897,4.585734834581618,[0.462 0.313 0.225 0.   ],0.6776928511786242,0.003165358252581787,111309523.81024781,[29.077 30.982  4.296  0.   ],58.54166666704744
43,[8783. 9482. 1085.    0.],20161.0,403.19999999737746,[184.918 148.676  69.606   0.   ],32117.287511257626,11400.0,163548.0,36658500000.0,78113021.55999903,26306.0,10644.0,79.65202001700119,1.7688011507366854,19.38792718615148,41.60147044418156,6.748997008214843,1.585883636724369,0.013788998561579287,3.7155399037746144,[0.459 0.369 0.173 0.   ],0.40462251957728274,0.0021308297273483377,90918898.81011517,[21.783 23.517  2.691  0.   ],28.273809523993425
44,[14602. 13356.  2436.     0.],20161.0,403.19999999737746,[261.485  81.587  60.128   0.   ],44782.84811821031,48056.0,354511.0,135009000000.0,545250230.6335787,81177.0,39247.0,111.06306264126124,7.805684241852875,51.21948316055751,96.63214795539724,18.31777332183138,3.706958980209315,0.028173205694161995,14.335152026189178,[0.649 0.202 0.149 0.   ],0.483474383138081,0.004038621355862044,334843750.00217795,[36.215 33.125  6.042  0.   ],119.18650793728317
45,[6748. 7982. 1417.    0.],20161.0,403.19999999737746,[161.07  171.497  70.633   0.   ],33280.99188672903,21032.0,295196.0,66211500000.0,305933980.6360345,43705.0,21327.0,82.53804842697642,2.5923714101481865,26.088190069937006,45.452933703391594,10.046090047857817,2.0467238728237684,0.011358563563315311,7.545558256038887,[0.399 0.425 0.175 0.   ],0.48797620409564124,0.004620556559450163,164215029.76297286,[16.736 19.797  3.514  0.   ],52.162698413037695
46,[15381. 13696.  2762.     0.],20161.0,403.19999999737746,[260.753  80.586  61.861   0.   ],42143.48010229605,43016.0,342523.0,96813000000.0,344970109.71499777,58710.0,25130.0,104.51733570332624,6.897276920787804,45.103913496354345,82.8690256155797,13.730158476977023,3.0062992907097863,0.029859629978671694,9.84499776796786,[0.647 0.2   0.153 0.   ],0.42803610969170497,0.003563262265553157,240111607.1444189,[38.147 33.968  6.85   0.   ],106.68650793720185
47,[ 9060. 10195.  1700.     0.],20161.0,403.19999999737746,[151.451 139.072 112.677   0.   ],30756.910334376225,24960.0,404114.0,50859000000.0,155452579.8090796,48835.0,28303.0,76.27823603584014,2.070214771092675,28.047616685680275,42.797888513774126,8.408853782436044,1.827984722980011,0.014086602847080998,5.455384157531869,[0.376 0.345 0.279 0.   ],0.5795638374116925,0.0030565402349452325,126138392.8579633,[22.47  25.285  4.216  0.   ],61.904761905164555
48,[11949. 13011.  1438.     0.],20161.0,403.19999999737746,[180.09  150.886  72.224   0.   ],32113.059371471074,17672.0,305093.0,36697500000.0,94644160.79685773,58717.0,39614.0,79.6415340793315,1.9495858340359935,22.548881503893657,45.72568612226341,7.600287005621454,1.7393978473290015,0.023113932840632904,3.9793661028718814,[0.447 0.374 0.179 0.   ],0.6746598089139432,0.0025790356508442734,91015625.000592,[29.635 32.269  3.566  0.   ],43.82936507965016
