id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
20,[1754. 1755.    0.    0.],10081.0,201.60000000059856,[ 26.69 174.91   0.     0.  ],13653.148829691605,21804.0,4909500000.0,1181718.9119160646,6275.0,1099.0,4954.0,67.71723454859683,0.593988691598058,21.677611348080546,9.130817134168922,0.6058652715150059,0.1726019244122607,0.0036702708064676125,0.49191548457494294,[0.132 0.868 0.    0.   ],0.7894820717131474,0.0002407004607222863,24352678.571356267,[8.7   8.705 0.    0.   ],108.15476190444079
21,[1873. 1874.    0.    0.],10081.0,201.60000000059856,[ 28.569 173.031   0.      0.   ],13728.801702356855,21448.0,4905000000.0,299548.2486135231,4379.0,1246.0,2996.0,68.09245958909491,0.6465231623846864,21.37922825116556,9.97099952446384,0.662024191535344,0.19194524352742784,0.005852593988691598,0.4920146810832259,[0.142 0.858 0.    0.   ],0.6841744690568623,6.106997932997412e-05,24330357.142784905,[9.291 9.296 0.    0.   ],106.38888888857302
22,[1633. 1634.    0.    0.],10081.0,201.60000000059856,[ 24.675 176.925   0.      0.   ],13498.453272771632,15772.0,5934000000.0,483337.70172270323,9000.0,1152.0,7821.0,66.94997159392969,0.47407995238567124,17.784743577026088,8.138822501560629,0.6203924535979216,0.17537942664418213,0.004265449856165063,0.6863406408094435,[0.122 0.878 0.    0.   ],0.869,8.145225846354959e-05,29434523.809436418,[8.1   8.105 0.    0.   ],78.23412698389471
23,[2078. 2078.    0.    0.],10081.0,201.60000000059856,[ 31.801 169.799   0.      0.   ],13815.683790369962,19616.0,6055500000.0,385379.1479887492,12417.0,1530.0,10910.0,68.52337957725604,0.6117647058823462,18.13153456998314,10.462125965241647,0.792590609653185,0.2327150084317032,0.003372681281618887,0.7411963098898918,[0.158 0.842 0.    0.   ],0.8786341306273657,6.364117710985868e-05,30037202.3808632,[10.308 10.308  0.     0.   ],97.30158730129841
24,[1956. 1957.    0.    0.],10081.0,201.60000000059856,[ 31.74 169.86   0.     0.  ],13809.369538234318,19112.0,5859000000.0,65182.569758023135,12748.0,1402.0,11280.0,68.49206198904254,0.6029560559468244,18.100188473365737,10.118495344074068,0.7696071024087515,0.22954072016665014,0.004265449856165063,0.7247296895149291,[0.157 0.843 0.    0.   ],0.8848446815186696,1.112520391842006e-05,29062499.99991371,[9.702 9.707 0.    0.   ],94.80158730130583
25,[2183. 2183.    0.    0.],10081.0,201.60000000059856,[ 32.661 168.939   0.      0.   ],13861.472139904987,19824.0,6001500000.0,829323.1536648509,12800.0,1629.0,11259.0,68.75048179695216,0.6294613629600168,18.114472770558475,10.709445090896297,0.7938389149434191,0.2338061700228152,0.0034718777899017954,0.7448665806963595,[0.162 0.838 0.    0.   ],0.879609375,0.00013818597911602947,29769345.238006853,[10.828 10.828  0.     0.   ],98.33333333304138
26,[1803. 1804.    0.    0.],10081.0,201.60000000059856,[ 27.085 174.515   0.      0.   ],13603.8666724297,17676.0,6051000000.0,106532.45506401162,7989.0,1277.0,6681.0,67.47280365254497,0.5214562047415869,18.038289852197202,9.26042864600385,0.6716435023023123,0.19442515623450055,0.004067056839599246,0.689018946533082,[0.134 0.866 0.    0.   ],0.8362748779571911,1.7605760215503492e-05,30014880.95229184,[8.943 8.948 0.    0.   ],87.6785714283111
27,[1744. 1745.    0.    0.],10081.0,201.60000000059856,[ 27.845 173.755   0.      0.   ],13695.539087338135,21296.0,4827000000.0,0.0,5259.0,1123.0,3894.0,67.92748282578455,0.6146215653209008,21.257018152961017,9.533315656967982,0.6384586798574382,0.18410871937307807,0.005257414938994147,0.4856661045531197,[0.138 0.862 0.    0.   ],0.7404449515116942,0.0,23943452.38088129,[8.651 8.656 0.    0.   ],105.634920634607
28,[1926. 1926.    0.    0.],10081.0,201.60000000059856,[ 29.566 172.034   0.      0.   ],13775.28899477767,21472.0,4857000000.0,97958.55373395403,4957.0,1284.0,3514.0,68.32302844347855,0.6555698839400885,21.49786727507192,10.104348456174373,0.6678311699313628,0.19809542704096816,0.004662235889296697,0.486459676619383,[0.147 0.853 0.    0.   ],0.7088965099858786,2.0168530725541288e-05,24092261.904690374,[9.554 9.554 0.    0.   ],106.50793650762029
29,[1569. 1570.    0.    0.],10081.0,201.60000000059856,[ 23.818 177.782   0.      0.   ],13458.076353115563,15744.0,5959500000.0,227102.6039984693,11201.0,1071.0,10090.0,66.74970912167427,0.44614621565320506,17.772046423965875,7.630176110859587,0.5471219838869542,0.1631782561253844,0.0041662533478821545,0.7042952088086499,[0.118 0.882 0.    0.   ],0.9008124274618338,3.810766070953424e-05,29561011.90467414,[7.783 7.788 0.    0.   ],78.09523809500622
30,[1970. 1971.    0.    0.],10081.0,201.60000000059856,[ 31.508 170.092   0.      0.   ],13793.601492758395,19272.0,6016500000.0,129144.05026451527,13196.0,1456.0,11737.0,68.41385523636033,0.5854181132824053,18.077571669477233,9.922092825127299,0.7936067297351804,0.2303342922329134,0.0036702708064676125,0.7485368515028271,[0.156 0.844 0.    0.   ],0.8894361927856926,2.1464979683290163e-05,29843749.999911394,[9.772 9.777 0.    0.   ],95.59523809495427
31,[1940. 1941.    0.    0.],10081.0,201.60000000059856,[ 30.538 171.062   0.      0.   ],13755.66845578114,18964.0,5958000000.0,753620.8187568795,14147.0,1344.0,12702.0,68.2257139955243,0.5781172502727836,18.106537049895845,9.83449314797914,0.7495836586765402,0.21803392520583276,0.0030750917567701616,0.7384188076579704,[0.151 0.849 0.    0.   ],0.8978582031526119,0.00012648889203707277,29553571.428483684,[9.623 9.628 0.    0.   ],94.06746031718103
32,[1947. 1947.    0.    0.],10081.0,201.60000000059856,[ 30.038 171.562   0.      0.   ],13739.2682958266,18812.0,5991000000.0,952810.1632294987,11350.0,1429.0,9974.0,68.1443720653863,0.5741493899414677,18.004166253347883,9.600870288156985,0.764055599788757,0.21783553218926693,0.003571074298184704,0.728003174288265,[0.149 0.851 0.    0.   ],0.8787665198237885,0.00015904025425296256,29717261.904673673,[9.658 9.658 0.    0.   ],93.31349206321501
33,[1891. 1892.    0.    0.],10081.0,201.60000000059856,[ 29.381 172.219   0.      0.   ],13710.031386291093,18428.0,6058500000.0,122676.8356685774,8872.0,1376.0,7435.0,67.99936209844063,0.5688324570975033,18.145422081142744,10.192000356702344,0.7255463925449522,0.21366927884138479,0.00446384287273088,0.6781073306219622,[0.146 0.854 0.    0.   ],0.8380297565374211,2.0248714313539227e-05,30052083.333244108,[9.38  9.385 0.    0.   ],91.40873015845877
34,[1747. 1748.    0.    0.],10081.0,201.60000000059856,[ 27.106 174.494   0.      0.   ],13646.457534039497,20624.0,4819500000.0,0.0,6092.0,980.0,4716.0,67.6840468903675,0.5777204642396591,21.091558377145123,9.693966229379143,0.6410460728815961,0.18143041364943954,0.0034718777899017954,0.4726713619680587,[0.134 0.866 0.    0.   ],0.7741300065659882,0.0,23906249.999929022,[8.666 8.671 0.    0.   ],102.30158730128356
35,[1944. 1945.    0.    0.],10081.0,201.60000000059856,[ 29.054 172.546   0.      0.   ],13753.570879459781,22512.0,4789500000.0,0.0,5142.0,1286.0,3731.0,68.21531038317733,0.6516020236087723,21.42525543100883,10.128544136644463,0.6558783134786642,0.19492113877591508,0.00505902192242833,0.47852395595675035,[0.144 0.856 0.    0.   ],0.7255931544146247,0.0,23757440.47611994,[9.643 9.648 0.    0.   ],111.66666666633513
36,[1417. 1417.    0.    0.],10081.0,201.60000000059856,[ 20.412 181.188   0.      0.   ],13305.75100556457,15340.0,5928000000.0,0.0,8548.0,869.0,7518.0,65.99420199167237,0.3841682372780448,17.682769566511258,7.251524166090787,0.47911631390274084,0.13778395000495983,0.0030750917567701616,0.6539033826009324,[0.101 0.899 0.    0.   ],0.8795039775386055,0.0,29404761.9046746,[7.029 7.029 0.    0.   ],76.09126984104392
37,[2025. 2026.    0.    0.],10081.0,201.60000000059856,[ 31.497 170.103   0.      0.   ],13801.75338938911,19576.0,6003000000.0,253779.8731469579,12587.0,1540.0,11111.0,68.45428722044221,0.5924015474655223,18.145025295109612,10.233637727473145,0.7932920055094048,0.23192143636543994,0.004364646364447972,0.7348477333597857,[0.156 0.844 0.    0.   ],0.8827361563517915,4.2275507770607676e-05,29776785.714197308,[10.045 10.05   0.     0.   ],97.1031746028863
38,[1625. 1626.    0.    0.],10081.0,201.60000000059856,[ 24.564 177.036   0.      0.   ],13495.071940404421,18928.0,6024000000.0,194733.07962146334,9692.0,1117.0,8516.0,66.9332007757211,0.4724928082531452,17.98194623549251,8.206655898906755,0.5736118399784417,0.1717091558377145,0.0037694673147505207,0.7120325364547168,[0.122 0.878 0.    0.   ],0.8786628146925299,3.23262084364979e-05,29880952.380863663,[8.061 8.065 0.    0.   ],93.88888888861013
39,[1798. 1799.    0.    0.],10081.0,201.60000000059856,[ 27.495 174.105   0.      0.   ],13625.418851999151,18816.0,5976000000.0,387253.6230324634,12546.0,1435.0,11247.0,67.57969870050401,0.5161392718976242,17.961710147802798,8.828987954482843,0.6749646981772144,0.19611149687531,0.00446384287273088,0.7390139867076679,[0.136 0.864 0.    0.   ],0.8964610234337638,6.480147641105479e-05,29642857.14276913,[8.919 8.924 0.    0.   ],93.33333333305623
40,[1602. 1603.    0.    0.],10081.0,201.60000000059856,[ 23.236 178.364   0.      0.   ],13435.770943000009,17660.0,5968500000.0,16144.380604565784,6857.0,1105.0,5737.0,66.6390781817103,0.4572562245808902,17.98631088185696,8.084525074918984,0.5392561634700537,0.16139271897629204,0.003571074298184704,0.656482491816288,[0.115 0.885 0.    0.   ],0.8366632638179962,2.7049309884503283e-06,29605654.761816863,[7.946 7.951 0.    0.   ],87.59920634894627
