cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Sat,18:00,159673.5237,3855.457524,299180.4323
0,Sat,18:20,164923.4385,4154.995762,297340.569
0,Sat,18:40,166482.4909,4418.666084,298398.461
0,Sat,19:00,164859.0934,4589.998038,296990.7851
0,Sat,19:20,163332.5298,4793.721562,290123.6674
0,Sat,19:40,164053.3313,4836.265183,286367.6062
0,Sat,20:00,161486.1947,4415.972135,287480.7311
0,Sat,20:20,156009.7933,4184.404004,285630.6542
0,Sat,20:40,153798.4899,4469.055132,276367.8815
0,Sat,21:00,148458.1102,4602.670607,260591.5267
0,Sat,21:20,141715.7625,4296.671151,243433.1671
0,Sat,21:40,138847.6233,4178.576538,234628.7443
0,Sat,22:00,133503.8876,4479.489452,229911.5624
0,Sat,22:20,123166.3573,4034.836446,220714.7588
0,Sat,22:40,113324.5737,3456.732938,207511.4057
0,Sat,23:00,105497.712,3323.726828,190950.004
0,Sat,23:20,96934.47744,2565.433328,172962.348
0,Sat,23:40,89907.82561,1860.616831,161434.9199
0,Sun,0:00,82997.70597,1461.455511,156745.784
0,Sun,0:20,73658.73737,998.5217478,149048.9564
0,Sun,0:40,66105.87385,616.8180532,141435.737
0,Sun,1:00,59283.40835,435.702217,134993.1085
0,Sun,1:20,54760.87466,364.2421684,130962.0456
0,Sun,1:40,52067.32366,285.9561231,127561.5439
0,Sun,2:00,49126.25765,193.9755834,119746.2779
0,Sun,2:20,44890.5444,134.0000688,114048.3965
0,Sun,2:40,42864.50317,128.55392,112109.1829
0,Sun,3:00,44290.46281,134.5225121,109375.9928
0,Sun,3:20,43867.9347,101.4515231,109314.9446
0,Sun,3:40,41693.25032,86.83340702,110868.0749
0,Sun,4:00,38885.25161,97.90948368,110223.2721
0,Sun,4:20,36568.23135,99.30695086,109572.6023
0,Sun,4:40,39233.85822,115.229275,115600.4454
0,Sun,5:00,44202.88076,151.5963219,125374.0443
0,Sun,5:20,50028.79651,191.5706393,133998.5224
0,Sun,5:40,55796.41848,270.094388,144203.1572
0,Sun,6:00,60474.12144,419.5807967,155499.0414
0,Sun,6:20,68128.38669,613.8773519,168613.549
0,Sun,6:40,76793.57364,877.4753696,188117.9308
0,Sun,7:00,82588.918,1354.474495,212357.1022
0,Sun,7:20,91521.11053,2071.580439,233892.0334
0,Sun,7:40,101485.3847,2778.370364,253358.4473
0,Sun,8:00,102706.0518,3160.959136,259286.0708
0,Sun,8:20,103200.3047,2991.310695,253246.3316
0,Sun,8:40,109999.6409,2808.001447,269808.3313
0,Sun,9:00,113503.4375,2959.463295,288668.3099
0,Sun,9:20,116817.7407,3245.522244,290607.5144
0,Sun,9:40,124463.2103,3353.508616,298392.2194
0,Sun,10:00,125395.6094,3308.078583,301972.7193
0,Sun,10:20,122235.5927,3292.486797,298194.8377
0,Sun,10:40,126036.0449,3325.010052,304374.9317
0,Sun,11:00,130070.5832,3436.194666,312523.8481
0,Sun,11:20,131320.923,3297.911532,312328.0804
0,Sun,11:40,135561.3984,3561.392727,321612.7579
0,Sun,12:00,136323.4654,4097.11858,334565.4526
0,Sun,12:20,135585.4622,4156.990063,334369.8802
0,Sun,12:40,137521.4795,3961.036173,329428.9834
0,Sun,13:00,138214.9486,3914.227467,313110.5464
0,Sun,13:20,138196.836,3995.086187,295000.8895
0,Sun,13:40,143687.1118,4400.596483,310447.7228
0,Sun,14:00,149648.2161,4750.483936,338604.6797
0,Sun,14:20,150047.2348,4701.891108,344673.1211
0,Sun,14:40,149695.2077,5045.178344,350716.4353
0,Sun,15:00,150515.3092,5412.8068,362676.3021
0,Sun,15:20,151357.5417,5244.060699,364333.3803
0,Sun,15:40,154249.4903,5032.726053,363515.0309
0,Sun,16:00,156779.4066,5329.157315,355191.9022
0,Sun,16:20,158598.0495,5506.425101,342217.9193
0,Sun,16:40,158973.9744,5130.194469,334754.7922
0,Sun,17:00,155776.842,4856.484633,320791.6217
0,Sun,17:20,152902.4034,4722.670744,300710.1761
0,Sun,17:40,157083.2392,4883.427121,306616.2548
0,Sun,18:00,160384.2348,5275.550951,314880.5169
0,Sun,18:20,155328.8479,5604.530347,299016.871
0,Sun,18:40,153049.2873,5603.178767,294254.6817
0,Sun,19:00,156696.7271,4991.923549,299449.4991
0,Sun,19:20,162461.9942,4701.509996,298315.3771
0,Sun,19:40,161636.9207,5042.250419,297767.6592
0,Sun,20:00,153178.6276,4847.453272,297755.8446
0,Sun,20:20,148724.3819,4492.896248,296171.1008
0,Sun,20:40,147854.9219,4260.986526,290458.692
0,Sun,21:00,141744.9192,3715.715152,272682.3662
0,Sun,21:20,133094.4996,3455.819131,250960.8929
0,Sun,21:40,122631.1684,3363.016498,233692.7816
