id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
30,[ 817. 1403.  708.  660.],10081.0,201.60000000059856,[14.552 19.713 89.48  77.855],6748.371077581329,5224.0,2414.0,19843.0,2776500000.0,18303740.075139932,33.470742374675694,0.23830969149885933,16.48368217438746,4.63213546381845,0.34536398072388064,0.07548854280329333,0.14066064874516418,0.5605594683067157,[0.072 0.098 0.444 0.386],0.0,0.0,0.006592378921354199,13772321.428530538,[4.053 6.959 3.512 3.274],25.912698412621477
31,[ 755. 1389.  744.  624.],10081.0,201.60000000059856,[13.626 23.162 90.782 74.03 ],6684.9986842043845,5072.0,2300.0,19861.0,2743500000.0,10845226.091327455,33.15642636744925,0.21577224481698373,16.46146215653209,4.342816808277533,0.33573019421713923,0.07132228945541116,0.13560162682273583,0.5480607082630692,[0.068 0.115 0.45  0.367],0.0,0.0,0.0039530621801813215,13608630.952340549,[3.745 6.89  3.69  3.095],25.158730158655462
32,[ 759. 1409.  742.  636.],10081.0,201.60000000059856,[13.693 23.176 89.31  75.421],6666.113380646864,5016.0,2389.0,19404.0,2883000000.0,9208103.038078953,33.06275855891061,0.22093046324769455,16.479714314056146,4.472537305578224,0.3624909759671692,0.07310782660450352,0.1400654696954667,0.5844658268028965,[0.068 0.115 0.443 0.374],0.0,0.0,0.0031939309878872535,14300595.23805278,[3.765 6.989 3.681 3.155],24.880952380878508
33,[ 738. 1367.  768.  677.],10081.0,201.60000000059856,[14.305 21.216 85.49  80.589],6674.249938149566,5080.0,2221.0,18498.0,2772000000.0,9688296.616394715,33.103114463596285,0.2383890487054859,16.458287868267035,4.5603982059349635,0.3124514170131038,0.0728102370796548,0.12349965281222101,0.5419105247495288,[0.071 0.105 0.424 0.4  ],0.0,0.0,0.003495056499420893,13749999.999959176,[3.661 6.781 3.81  3.358],25.198412698337883
34,[ 564. 1101.  709.  578.],10081.0,201.60000000059856,[ 10.75   19.027 104.413  67.41 ],6288.02617103665,4200.0,1719.0,15965.0,1878000000.0,7379265.014105322,31.1875120079219,0.17569685547068883,16.436067850411664,3.201113558511437,0.21293440444448047,0.04840789604205932,0.09413748636048011,0.35353635552028567,[0.053 0.094 0.518 0.334],0.0,0.0,0.0039293210937728015,9315476.190448532,[2.798 5.461 3.517 2.867],20.83333333327148
35,[ 555. 1099.  667.  522.],10081.0,201.60000000059856,[ 10.708  17.48  112.407  61.005],6268.277729725874,4000.0,1803.0,17044.0,1887000000.0,12139250.276623726,31.089563186818992,0.1726019244122622,16.415831762721954,3.3101479897375827,0.23216127355695676,0.05108620176569785,0.09840293621664517,0.35581787521079256,[0.053 0.087 0.558 0.303],0.0,0.0,0.006433095006159897,9360119.047591258,[2.753 5.451 3.309 2.589],19.84126984121093
36,[ 712. 1372.  676.  578.],10081.0,201.60000000059856,[13.46  22.538 97.208 68.394],6633.291915061495,4832.0,2373.0,20046.0,2767500000.0,22284619.516010668,32.899969819770995,0.20497966471580373,16.416228548755083,4.34013702074304,0.28662215664467394,0.069338359289753,0.13818073603809147,0.5404225771252852,[0.067 0.112 0.482 0.339],0.0,0.0,0.008052256374348931,13727678.571387814,[3.532 6.806 3.353 2.867],23.968253968182808
37,[ 734. 1378.  707.  629.],10081.0,201.60000000059856,[13.078 21.328 92.404 74.79 ],6634.615684198466,4968.0,2412.0,20001.0,2775000000.0,19779040.590661734,32.90653548357896,0.2056938795754406,16.442813212974905,4.2951923297297,0.3673326251707483,0.07082630691399663,0.1467116357504216,0.5595675032238865,[0.065 0.106 0.458 0.371],0.0,0.0,0.007127582194833057,13764880.952340083,[3.641 6.835 3.507 3.12 ],24.642857142783978
38,[ 751. 1393.  754.  598.],10081.0,201.60000000059856,[13.964 22.123 94.844 70.669],6674.72914125595,5064.0,2175.0,18137.0,2652000000.0,14712929.2861666,33.10549122734189,0.23204047217537982,16.45193929173693,4.377809629664252,0.3048925503803362,0.0728102370796548,0.1210197401051483,0.5259398869159806,[0.069 0.11  0.47  0.351],0.0,0.0,0.0055478617217822775,13154761.904722847,[3.725 6.91  3.74  2.966],25.11904761897304
39,[ 731. 1375.  734.  620.],10081.0,201.60000000059856,[13.35  21.758 92.628 73.864],6645.145539023094,4824.0,2150.0,17917.0,2788500000.0,5473132.59418653,32.95876172514535,0.21093145521277806,16.41741890685448,4.267341611947961,0.318522856715204,0.06993353833945046,0.12260688423767484,0.5523261581192342,[0.066 0.108 0.459 0.366],0.0,0.0,0.0019627515130667132,13831845.238054171,[3.626 6.82  3.641 3.075],23.928571428500383
40,[ 742. 1417.  744.  605.],10081.0,201.60000000059856,[13.282 22.61  94.575 71.133],6612.7550006761985,4824.0,2289.0,19118.0,2827500000.0,9759054.905976858,32.79811030987474,0.2157722448169838,16.457097510167642,4.3623078611466735,0.3240743570859538,0.0716198789802599,0.12895546076778097,0.550342227953576,[0.066 0.112 0.469 0.353],0.0,0.0,0.0034514783045010993,14025297.619005978,[3.681 7.029 3.69  3.001],23.928571428500383
41,[ 578. 1150.  730.  572.],10081.0,201.60000000059856,[ 11.679  19.133 103.995  66.793],6381.966412277031,4280.0,1898.0,17966.0,1954500000.0,8996842.841200134,31.65343920383693,0.19434579902787583,16.44916178950501,3.7647256766562793,0.2554136955835357,0.05723638527923817,0.10326356512250769,0.3669278841384783,[0.058 0.095 0.516 0.331],0.0,0.0,0.004603142922077326,9694940.476161692,[2.867 5.704 3.621 2.837],21.2301587300957
42,[ 621. 1035.  635.  657.],10081.0,201.60000000059856,[13.838 12.823 98.115 76.824],6612.303330213439,6032.0,2227.0,18217.0,1962000000.0,11373648.813924763,32.795870103234755,0.23378633072115876,17.645471679396884,3.9656817188450857,0.2970918876001821,0.06537049895843666,0.12518599345303044,0.3795258406904077,[0.069 0.064 0.487 0.381],0.0,0.0,0.005796966775700695,9732142.857113963,[3.08  5.134 3.15  3.259],29.920634920546085
43,[ 650. 1100.  619.  603.],10081.0,201.60000000059856,[ 13.036  14.841 103.332  70.391],6627.418578329543,6060.0,2121.0,17412.0,2007000000.0,11505538.277940866,32.87083909498205,0.22386667989286846,17.678801706179943,3.741686397589347,0.2636787495985234,0.05832754687035016,0.11943259597262176,0.3957940680488047,[0.065 0.074 0.513 0.349],0.0,0.0,0.005732704672616276,9955357.142827585,[3.224 5.456 3.07  2.991],30.059523809434562
44,[ 818. 1376.  654.  637.],10081.0,201.60000000059856,[15.438 17.756 93.213 75.193],6759.638807150355,5528.0,2540.0,17873.0,2715000000.0,22695283.88873271,33.526628346152066,0.25307013193135536,16.522963991667492,4.853118838197188,0.36367158546468614,0.08153952980855074,0.14889395893264556,0.5429024898323579,[0.077 0.088 0.462 0.373],0.0,0.0,0.008359220585168586,13467261.90472192,[4.058 6.825 3.244 3.16 ],27.420634920553507
45,[ 616. 1077.  653.  623.],10081.0,201.60000000059856,[ 13.021  15.207 100.74   72.632],6543.97876625213,5776.0,2058.0,17662.0,1942500000.0,12200322.518434463,32.456992194488755,0.21235988493205132,17.387560757861323,3.727280223951072,0.23786846128281464,0.058823529411764705,0.11129848229342328,0.37049895843666303,[0.065 0.075 0.5   0.36 ],0.0,0.0,0.006280732313222375,9635416.66663806,[3.056 5.342 3.239 3.09 ],28.650793650708586
46,[ 793. 1390.  664.  631.],10081.0,201.60000000059856,[15.338 19.08  92.856 74.326],6762.57273978008,5680.0,2549.0,17262.0,2671500000.0,19463155.76648424,33.5411801397725,0.24283305227655963,16.5293125681976,4.74373058137852,0.42681338774064104,0.08263069139966273,0.14750520781668486,0.5421089177660946,[0.076 0.095 0.461 0.369],0.0,0.0,0.0072854784826817285,13251488.09519875,[3.934 6.895 3.294 3.13 ],28.174603174519522
47,[ 657. 1140.  667.  653.],10081.0,201.60000000059856,[13.746 15.395 96.35  76.109],6659.030728076762,5996.0,2409.0,19508.0,2046000000.0,14170478.052015098,33.02762983869378,0.23838904870548525,17.69943457990279,4.227335295782183,0.25677978031848303,0.06566808848328538,0.13460966173990677,0.4222795357603412,[0.068 0.076 0.478 0.378],0.0,0.0,0.006925942351913537,10148809.523779392,[3.259 5.655 3.309 3.239],29.742063491975188
48,[ 642. 1063.  627.  653.],10081.0,201.60000000059856,[13.853 14.074 97.645 76.028],6650.358663172259,6076.0,2390.0,19724.0,2001000000.0,13474614.461391056,32.98461791078748,0.2325959726217641,17.68792778494197,4.149601230324817,0.30626696439152945,0.06735442912409483,0.13391528618192639,0.39807558773931156,[0.069 0.07  0.484 0.377],0.0,0.0,0.0067339402605652455,9925595.238065768,[3.185 5.273 3.11  3.239],30.138888888799407
